date,confidence
2016/4/1,100.9448
2016/5/1,100.5525
2016/6/1,100.238
2016/7/1,99.95192
2016/8/1,99.78797
2016/9/1,99.99776
2016/10/1,100.6439
2016/11/1,101.4223
2016/12/1,102.1171
2017/1/1,102.3331
2017/2/1,102.3168
2017/3/1,102.3582
2017/4/1,102.6943
2017/5/1,102.8622
2017/6/1,102.9582
2017/7/1,103.0079
2017/8/1,103.0767
2017/9/1,103.3327
2017/10/1,103.4188
2017/11/1,103.314
2017/12/1,103.0083
2018/1/1,102.7981
2018/2/1,102.8429
2018/3/1,103.0554
2018/4/1,103.2485
2006/9/1,102.4707
2006/10/1,102.4277
2006/11/1,102.5103
2006/12/1,102.8567
2007/1/1,103.1908
2007/2/1,103.3625
2007/3/1,103.3292
2007/4/1,103.1624
2007/5/1,102.9287
2007/6/1,102.7509
2007/7/1,102.6493
2007/8/1,102.6036
2007/9/1,102.5149
2007/10/1,102.4947
2007/11/1,102.4656
2007/12/1,102.3167
2008/1/1,102.0063
2008/2/1,101.3819
2008/3/1,100.7694
2008/4/1,100.2058
2008/5/1,99.90647
2008/6/1,99.65108
2008/7/1,99.36252
2008/8/1,98.87019
2008/9/1,97.70568
2008/10/1,96.02886
2008/11/1,94.62643
2008/12/1,93.63744
2009/1/1,93.16926
2009/2/1,93.10176
2009/3/1,93.49886
2009/4/1,94.06947
2009/5/1,94.54449
2009/6/1,95.07713
2009/7/1,95.65163
2009/8/1,96.22551
2009/9/1,96.79173
2009/10/1,97.259
2009/11/1,97.62965
2009/12/1,98.07776
2010/1/1,98.58726
2010/2/1,99.36055
2010/3/1,100.4106
2010/4/1,101.373
2010/5/1,102.0317
2010/6/1,102.4059
2010/7/1,102.6118
2010/8/1,102.7527
2010/9/1,102.8669
2010/10/1,103.0091
2010/11/1,103.153
2010/12/1,103.2568
2011/1/1,103.2644
2011/2/1,103.1515
2011/3/1,102.9647
2011/4/1,102.784
2011/5/1,102.692
2011/6/1,102.6167
2011/7/1,102.4368
2011/8/1,102.1193
2011/9/1,101.8845
2011/10/1,101.7666
2011/11/1,101.7724
2011/12/1,101.81
2012/1/1,101.9275
2012/2/1,101.9767
2012/3/1,101.8599
2012/4/1,101.6372
2012/5/1,101.4315
2012/6/1,101.3951
2012/7/1,101.4953
2012/8/1,101.7312
2012/9/1,101.9921
2012/10/1,102.2575
2012/11/1,102.5225
2012/12/1,102.7418
2013/1/1,102.8884
2013/2/1,102.9284
2013/3/1,102.902
2013/4/1,102.8097
2013/5/1,102.6402
2013/6/1,102.3653
2013/7/1,102.0874
